[00:00:00] 今日の疑問こちらです
[00:03:21] 使用自体を禁止されているわけではありませんので
[00:03:24] こうしたルールやマナーをしっかり守りながら利用していきたいと思います
[00:03:29] モバイルバッテリーに限らず
[00:03:31] リチウムイオン電池を使用した製品の中には
[00:03:35] 預け入れが制限されているものもありますので
[00:03:38] 航空会社各社のホームページなどで
[00:03:41] それぞれ確認をするようにしてください
[00:03:43] ここまで飛行機についてお伝えしてきましたが
[00:03:46] これからの規制であったり
[00:03:48] 高速バスを利用する方もいらっしゃると思います
[00:03:52] こちらを国土交通省とバス会社各社が
[00:03:57] 案内をしているんですけれども
[00:03:59] トランクルームには入れずに必ず車内に持ち込む
[00:04:03] ということでした
[00:04:04] 高速バスなど乗りますと乗る前に
[00:04:06] 一部扉が開きまして
[00:04:08] バスの席の下のところに
[00:04:10] 荷物入れると思うんですが
[00:04:11] 開いたところには入れずに車内に持ち込む
[00:04:14] ということでした
[00:04:16] そして使用する際は
[00:04:18] 常に確認ができる状態で
[00:04:20] 使用することなどを呼びかけているんです
[00:04:23] 続いて新幹線についても見ていきたいと思います
[00:04:26] 新幹線でもJR東海では
[00:04:29] 落としたり
[00:04:31] 高音になったりする場所に
[00:04:33] 置いたりしないようにということであったり
[00:04:35] JR東日本は使用の際は
[00:04:38] 可能な限り手元に置いて
[00:04:40] 状態は常に確認できるようにといった
[00:04:43] 注意喚起のアナウンスを流す
[00:04:45] としているということなんですね
[00:04:47] 僕も移動するときに
[00:04:49] 飛行機新幹線乗ること多いので
[00:04:51] これを改めて火災にならないように
[00:04:54] ちゃんと自分は大丈夫って思わないように
[00:04:56] 気をつけようと思いました
[00:04:57] そうですね
[00:04:58] 何かあるかもしれないと思うのも
[00:05:00] 大事になってきます
[00:05:01] こうした注意喚起を各社が行うのは
[00:05:04] 近年のリチウムイオン電池に関連した
[00:05:07] 火災が増えていることにあるんです
[00:05:10] 10月にはですね
[00:05:12] 飛行中の沖内で
[00:05:14] 乗客のモバイルバッテリーから
[00:05:16] 煙が上がりました
[00:05:18] また右側ですね
[00:05:19] 今年8月には
[00:05:21] 走行中の上越新幹線の中
[00:05:24] その車内で
[00:05:25] モバイルバッテリーから発火しました
[00:05:28] 東京消防庁管内だけでも
[00:05:30] 今年リチウムイオン電池を使う製品による
[00:05:33] 火災の件数が
[00:05:35] 過去最多のペースで増加しているというんです
[00:05:38] このしばらく年とですね
[00:05:40] 数を並べているんですけれども
[00:05:42] 右肩上がりになっていることを
[00:05:44] お分かりいただけるかと思うんですが
[00:05:46] ここ10年ほどで休層していまして
[00:05:49] 去年は1年間で
[00:05:51] こちらですね
[00:05:52] 去年1年間で243件と
[00:05:54] 過去最多となったんです
[00:05:57] しかし今年の数字見てみますと
[00:05:59] 今年は9月末の時点で
[00:06:02] このようになっています
[00:06:04] 228件に登りまして
[00:06:07] 去年の同じ時期と比べても
[00:06:10] 増えているということです
[00:06:12] ですのでこの先
[00:06:14] 件数が増えていけば
[00:06:15] これまででも最も多くなる可能性もあるという数字なんですね
[00:06:19] ではこうした火災の製品別で見ていきますと
[00:06:23] モバイルバッテリーが最も多くなっていまして
[00:06:26] 全体の3割以上を占めているというんですね
[00:06:30] 本当に今かなり多くの人が
[00:06:33] いろんな場所に持っていってると思うので
[00:06:35] 取り扱いには注意したいですね
[00:06:37] そうですね
[00:06:38] 注意を促す中で
[00:06:40] 東京消防庁は先週こういった動画を公開しました
[00:06:48] モバイルバッテリーに言う火災の危険性と
[00:06:51] 注意点をまとめたものです
[00:06:56] 火災を防ぐポイントとしましては
[00:06:59] 衝撃を与えない、分解しない
[00:07:02] 燃えやすいものがない場所で充電するということ
[00:07:06] 車内夏場など熱がこもりやすいんですが
[00:07:08] そういった場所での使用は控えるなどを
[00:07:11] あげているんです
[00:07:13] さらに周囲に燃えやすいものがあると
[00:07:16] 火が出たと一気に炎症してしまう可能性も
[00:07:19] 危険もあるんですね
[00:07:21] 万が一出荷してしまった場合
[00:07:24] 火や煙が激しく出ている場合は
[00:07:26] 近寄らないということが大事になってきます
[00:07:29] バッグなどに入れている場合は
[00:07:31] すぐに体から話すようにしてください
[00:07:34] 動画の中では消火の方法も説明していまして
[00:07:37] 大量の水や消火器を使うというんですね
[00:07:41] モバイルバッテリーなどに使われる
[00:07:43] リチウムイオン電池は火を消した後
[00:07:46] 火や煙が出ていなくても非常に高温になっていて
[00:07:49] 再び発熱や出荷する可能性があるというんです
[00:07:53] そのため大量の水なので
[00:07:55] 温度を下げた後水没させることが重要だというんです
[00:08:00] リチウムイオン電池製品の特に危険な際
[00:08:03] 見ていきたいと思います
[00:08:04] 東京消防庁によりますと
[00:08:06] このように膨らんでしまっている
[00:08:08] もしくは変形してしまっているということ
[00:08:10] さらには充電中に使用中に発熱することがあるということ
[00:08:17] こういったことがありますと
[00:08:19] 使用を控えた方がいいということでした
